
> fancy-strategy@1.0.0 ai:feed
> UV_THREADPOOL_SIZE=16 node src/ai/feed_real.js

Reading 9233821560 bytes into memory...
Read progress: 524288000/9233821560 (5.7%)
Read progress: 1048576000/9233821560 (11.4%)
Read progress: 1572864000/9233821560 (17.0%)
Read progress: 2097152000/9233821560 (22.7%)
Read progress: 2621440000/9233821560 (28.4%)
Read progress: 3145728000/9233821560 (34.1%)
Read progress: 3670016000/9233821560 (39.7%)
Read progress: 4194304000/9233821560 (45.4%)
Read progress: 4718592000/9233821560 (51.1%)
Read progress: 5242880000/9233821560 (56.8%)
Read progress: 5767168000/9233821560 (62.5%)
Read progress: 6291456000/9233821560 (68.1%)
Read progress: 6815744000/9233821560 (73.8%)
Read progress: 7340032000/9233821560 (79.5%)
Read progress: 7864320000/9233821560 (85.2%)
Read progress: 8388608000/9233821560 (90.8%)
Read progress: 8912896000/9233821560 (96.5%)
Read progress: 9233821560/9233821560 (100.0%)
Successfully read all 9233821560 bytes
First 16 bytes: d78ce40100000080b0ed9c2836cf0500
Middle 16 bytes: 4040f340c976be9f1a2f9d3ff2d24d62
Failed to load model from /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/myFirstModel/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000003 | Trade 083690718 | Loss: 309.540405 | MAE: 17.011665 | Buy: -0.0040, Sell: -0.0040
Sample 000005 | Trade 089985647 | Loss: 1535.502319 | MAE: 29.188543 | Buy: -0.0040, Sell: -0.0040
Sample 000006 | Trade 069900478 | Loss: 3198.246582 | MAE: 43.775890 | Buy: -0.0040, Sell: -0.0040
Sample 000014 | Trade 014455706 | Loss: 1556.539551 | MAE: 36.095650 | Buy: -0.0040, Sell: 0.0072
Sample 000022 | Trade 074008249 | Loss: 1194.743530 | MAE: 24.995295 | Buy: -0.0040, Sell: 0.0070
Sample 000024 | Trade 050550835 | Loss: 0.901658 | MAE: 0.808142 | Buy: 0.0070, Sell: -0.0041
Sample 000025 | Trade 007013050 | Loss: 492.579010 | MAE: 17.084841 | Buy: -0.0040, Sell: -0.0040
Sample 000026 | Trade 040424369 | Loss: 1406.600220 | MAE: 31.297592 | Buy: -0.0041, Sell: 0.0070
Sample 000028 | Trade 040417951 | Loss: 239.259552 | MAE: 12.664034 | Buy: -0.0040, Sell: -0.0041
Sample 000040 | Trade 098821959 | Loss: 3685.921143 | MAE: 50.625755 | Buy: -0.0040, Sell: 0.0070
Sample 000041 | Trade 113071648 | Loss: 994.830872 | MAE: 26.812624 | Buy: 0.0070, Sell: -0.0040
Sample 000043 | Trade 053001426 | Loss: 291.716492 | MAE: 13.439147 | Buy: 0.0070, Sell: -0.0040
Sample 000046 | Trade 039600289 | Loss: 55.994064 | MAE: 6.520010 | Buy: -0.0040, Sell: -0.0041
Sample 000047 | Trade 086525775 | Loss: 153.210907 | MAE: 11.791432 | Buy: -0.0040, Sell: 0.0070
Sample 000051 | Trade 044537275 | Loss: 312.491455 | MAE: 15.422915 | Buy: -0.0040, Sell: 0.0070
Sample 000053 | Trade 064518022 | Loss: 26.467180 | MAE: 3.881452 | Buy: -0.0040, Sell: 0.0070
Sample 000055 | Trade 069238479 | Loss: 1331.411987 | MAE: 30.233875 | Buy: 0.0070, Sell: -0.0040
Sample 000057 | Trade 083761326 | Loss: 161.871185 | MAE: 12.672787 | Buy: 0.0070, Sell: -0.0040
Sample 000058 | Trade 013410610 | Loss: 99.772285 | MAE: 9.174765 | Buy: -0.0041, Sell: 0.0070
Sample 000066 | Trade 106474391 | Loss: 1.263857 | MAE: 1.086822 | Buy: 0.0070, Sell: -0.0040
Sample 000069 | Trade 038038970 | Loss: 2409.865723 | MAE: 39.061401 | Buy: 0.0070, Sell: -0.0040
Sample 000072 | Trade 059670484 | Loss: 973.716370 | MAE: 28.614120 | Buy: 0.0070, Sell: -0.0040
Sample 000075 | Trade 115885026 | Loss: 209.818573 | MAE: 13.108549 | Buy: -0.0040, Sell: 0.0070
Sample 000080 | Trade 085319812 | Loss: 1943.511719 | MAE: 39.111794 | Buy: -0.0040, Sell: -0.0040
Sample 000081 | Trade 016852923 | Loss: 863.702393 | MAE: 22.340984 | Buy: -0.0040, Sell: -0.0040
Sample 000087 | Trade 109162388 | Loss: 139.244797 | MAE: 9.026237 | Buy: -0.0040, Sell: 0.0070
Sample 000090 | Trade 044493115 | Loss: 10.247282 | MAE: 2.297442 | Buy: -0.0042, Sell: 0.0070
Sample 000091 | Trade 107377402 | Loss: 7438.753906 | MAE: 80.635422 | Buy: -0.0040, Sell: 0.0070
Sample 000096 | Trade 065175354 | Loss: 134.360062 | MAE: 9.477656 | Buy: -0.0040, Sell: 0.0070
Sample 000100 | Trade 033539567 | Loss: 2693.733154 | MAE: 51.601242 | Buy: -0.0040, Sell: 0.0072
Sample 000104 | Trade 116476007 | Loss: 150.145172 | MAE: 11.976555 | Buy: -0.0040, Sell: 0.0070
Sample 000106 | Trade 020262340 | Loss: 720.768738 | MAE: 21.568190 | Buy: -0.0041, Sell: 0.0070
Sample 000109 | Trade 080689387 | Loss: 0.361368 | MAE: 0.537064 | Buy: 0.0070, Sell: -0.0040
Sample 000110 | Trade 086383548 | Loss: 480.909912 | MAE: 20.731928 | Buy: 0.0070, Sell: -0.0040
Sample 000118 | Trade 027014700 | Loss: 160.425415 | MAE: 11.607125 | Buy: 0.0070, Sell: -0.0042
Sample 000119 | Trade 022973452 | Loss: 1.307629 | MAE: 1.029966 | Buy: 0.0070, Sell: -0.0040
Sample 000126 | Trade 105516092 | Loss: 7103.700195 | MAE: 64.168556 | Buy: 0.0070, Sell: -0.0040
Sample 000128 | Trade 009939974 | Loss: 406.970581 | MAE: 16.996313 | Buy: 0.0071, Sell: -0.0043
Sample 000131 | Trade 045192992 | Loss: 595.063477 | MAE: 23.766731 | Buy: -0.0040, Sell: 0.0070
Sample 000132 | Trade 096137846 | Loss: 572.902588 | MAE: 18.560593 | Buy: 0.0070, Sell: -0.0040
Sample 000135 | Trade 017949912 | Loss: 19.342346 | MAE: 4.310377 | Buy: -0.0040, Sell: -0.0041
Sample 000143 | Trade 060184650 | Loss: 2724.215820 | MAE: 49.007721 | Buy: -0.0040, Sell: 0.0070
Sample 000145 | Trade 047389591 | Loss: 103.775917 | MAE: 10.176893 | Buy: -0.0040, Sell: 0.0071
Sample 000147 | Trade 040912281 | Loss: 8.797087 | MAE: 2.716102 | Buy: -0.0041, Sell: -0.0041
Sample 000148 | Trade 026861294 | Loss: 644.728577 | MAE: 19.313084 | Buy: -0.0040, Sell: 0.0071
Sample 000162 | Trade 029829515 | Loss: 342.513092 | MAE: 15.181535 | Buy: 0.0071, Sell: -0.0041
Sample 000166 | Trade 001319027 | Loss: 21.120785 | MAE: 3.720274 | Buy: -0.0040, Sell: 0.0071
Sample 000171 | Trade 090391156 | Loss: 23.438238 | MAE: 4.592505 | Buy: -0.0040, Sell: 0.0070
Sample 000172 | Trade 111409815 | Loss: 90.172188 | MAE: 8.318876 | Buy: -0.0040, Sell: 0.0070
Sample 000173 | Trade 023987677 | Loss: 374.475891 | MAE: 19.329189 | Buy: -0.0041, Sell: 0.0070
Sample 000177 | Trade 044870464 | Loss: 836.582153 | MAE: 24.913662 | Buy: -0.0040, Sell: -0.0040
Sample 000181 | Trade 000953449 | Loss: 1.546365 | MAE: 1.032347 | Buy: -0.0040, Sell: 0.0071
Sample 000182 | Trade 077171671 | Loss: 0.193343 | MAE: 0.333574 | Buy: 0.0070, Sell: -0.0040
Sample 000183 | Trade 063814678 | Loss: 577.337158 | MAE: 23.292141 | Buy: -0.0040, Sell: 0.0070
Sample 000186 | Trade 113574620 | Loss: 13.092963 | MAE: 3.282375 | Buy: -0.0040, Sell: 0.0070
Sample 000188 | Trade 104236406 | Loss: 0.209259 | MAE: 0.388646 | Buy: -0.0040, Sell: -0.0040
Sample 000190 | Trade 111958758 | Loss: 775.263855 | MAE: 20.717640 | Buy: 0.0070, Sell: -0.0040
Sample 000191 | Trade 123128614 | Loss: 2.695080 | MAE: 1.378675 | Buy: 0.0070, Sell: -0.0040
Sample 000192 | Trade 035772574 | Loss: 755.501343 | MAE: 26.190311 | Buy: 0.0070, Sell: -0.0040
Sample 000193 | Trade 042386937 | Loss: 67.365784 | MAE: 6.961962 | Buy: -0.0040, Sell: -0.0041
Sample 000195 | Trade 016793271 | Loss: 518.942139 | MAE: 20.207764 | Buy: -0.0040, Sell: -0.0040
Sample 000196 | Trade 094635857 | Loss: 2.036876 | MAE: 1.384777 | Buy: -0.0040, Sell: -0.0040
Sample 000198 | Trade 042205199 | Loss: 705.729858 | MAE: 26.527565 | Buy: 0.0070, Sell: -0.0041
Sample 000200 | Trade 084225026 | Loss: 0.674833 | MAE: 0.661920 | Buy: 0.0070, Sell: -0.0040
Sample 000205 | Trade 118128524 | Loss: 92.205429 | MAE: 9.250440 | Buy: 0.0070, Sell: -0.0040
Sample 000206 | Trade 037764283 | Loss: 2.949861 | MAE: 1.706663 | Buy: -0.0040, Sell: 0.0070
Sample 000207 | Trade 002180277 | Loss: 621.694580 | MAE: 24.909113 | Buy: -0.0043, Sell: -0.0041
Sample 000208 | Trade 041557089 | Loss: 501.536407 | MAE: 21.494659 | Buy: -0.0041, Sell: -0.0040
Sample 000209 | Trade 025549022 | Loss: 5.390511 | MAE: 1.758987 | Buy: -0.0040, Sell: 0.0070
Sample 000211 | Trade 015521088 | Loss: 186.384705 | MAE: 11.908143 | Buy: -0.0040, Sell: -0.0041
Sample 000215 | Trade 022725075 | Loss: 33.403748 | MAE: 5.326294 | Buy: -0.0040, Sell: 0.0070
Sample 000224 | Trade 035908631 | Loss: 230.460358 | MAE: 14.879984 | Buy: -0.0040, Sell: -0.0041
Sample 000226 | Trade 121873057 | Loss: 1476.434937 | MAE: 38.381561 | Buy: -0.0040, Sell: 0.0070
Sample 000227 | Trade 090057657 | Loss: 18.052147 | MAE: 3.707401 | Buy: -0.0040, Sell: 0.0070
Sample 000229 | Trade 014186252 | Loss: 0.385333 | MAE: 0.540282 | Buy: 0.0070, Sell: -0.0043
Sample 000234 | Trade 133703086 | Loss: 2400.129883 | MAE: 39.091389 | Buy: 0.0070, Sell: -0.0040
Sample 000235 | Trade 041194494 | Loss: 692.896240 | MAE: 24.971024 | Buy: 0.0071, Sell: -0.0040
Sample 000239 | Trade 040491573 | Loss: 1334.712769 | MAE: 30.262245 | Buy: -0.0041, Sell: 0.0070
Sample 000242 | Trade 022814045 | Loss: 164.500595 | MAE: 11.150245 | Buy: -0.0040, Sell: -0.0041
Sample 000249 | Trade 015881964 | Loss: 250.898682 | MAE: 13.944385 | Buy: -0.0040, Sell: -0.0040
Sample 000252 | Trade 090378285 | Loss: 1.370820 | MAE: 0.946077 | Buy: -0.0040, Sell: 0.0070
Sample 000253 | Trade 063242257 | Loss: 624.992615 | MAE: 24.481148 | Buy: -0.0040, Sell: 0.0070
Sample 000254 | Trade 024748729 | Loss: 78.282593 | MAE: 8.253071 | Buy: -0.0040, Sell: 0.0071
Sample 000257 | Trade 016444188 | Loss: 206.207550 | MAE: 14.353395 | Buy: 0.0070, Sell: -0.0040
Sample 000260 | Trade 041224751 | Loss: 446.251709 | MAE: 19.608374 | Buy: -0.0040, Sell: 0.0071
Sample 000263 | Trade 047412373 | Loss: 1395.387817 | MAE: 36.652359 | Buy: -0.0040, Sell: 0.0070
Sample 000269 | Trade 047866317 | Loss: 2166.336426 | MAE: 35.975365 | Buy: -0.0040, Sell: -0.0040
Sample 000274 | Trade 091256532 | Loss: 0.352105 | MAE: 0.476356 | Buy: 0.0070, Sell: -0.0040
Sample 000275 | Trade 104513989 | Loss: 524.485535 | MAE: 18.702065 | Buy: -0.0040, Sell: 0.0070
Sample 000279 | Trade 070008263 | Loss: 12.215288 | MAE: 3.477740 | Buy: -0.0040, Sell: -0.0040
Sample 000280 | Trade 065924946 | Loss: 79.150574 | MAE: 8.885863 | Buy: -0.0041, Sell: -0.0040
