SampleIndex,StartCandleIndex,StartCandleId,TradeIndex,Loss,MAE,MSE,BuyProfitPercent,BuyOrderDuration,BuyOrderForcedClose,BuyOrderTradesCount,SellProfitPercent,SellOrderDuration,SellOrderForcedClose,SellOrderTradesCount
4,1385628,28920309,93782673,34.5791740417,5.0863466263,34.5791740417,-0.0074073190,7204160000,true,6041,0.0080951878,7183400000,true,6988
5,1139212,28673885,53124506,433.0327758789,15.4188880920,433.0327758789,-0.0194003242,2676708000,false,7493,0.0200219560,2677026000,false,10949
7,1091499,28626164,48109937,279.7776489258,16.1486511230,279.7776489258,0.0004169846,7174383000,true,1539,-0.0001982548,7210948000,true,1570
10,479318,27733794,29034217,812.9141235352,27.8897552490,812.9141235352,-0.0004763996,7199723000,true,3209,0.0005412932,7201550000,true,3406
11,1406276,28940957,95976060,0.1122212261,0.3002253771,0.1122212261,0.0068566593,7208017554,true,5875,-0.0067667469,7199434427,true,3484
15,1587293,29121974,145698477,798.5384521484,28.2128562927,798.5384521484,-0.0100126828,7199452398,false,74473,0.0093969791,7200540732,true,137184
16,1731510,29266191,193028155,378.1653442383,15.7119302750,378.1653442383,0.0015295616,7200985305,true,4433,-0.0015295617,7197064406,true,3626
17,1013758,28548373,42974940,97.4900283813,7.6588425636,97.4900283813,0.0030179152,7240488000,true,1483,-0.0033409310,7188136000,true,1652
18,966520,28501107,39852078,5.1605429649,2.0004131794,5.1605429649,-0.0012645254,7202601000,true,3312,0.0011398404,7196533000,true,3880
19,1476766,29011447,108781728,52.7461471558,7.2576885223,52.7461471558,-0.0200153138,6198711732,false,9584,0.0200153161,6198860853,false,13809
20,1129090,28663763,51337047,46.8792800903,6.8458805084,46.8792800903,-0.0016590788,7204284000,true,5946,0.0016847915,7193859000,true,9270
21,1482863,29017544,111599807,166.4464569092,11.4378652573,166.4464569092,-0.0061564747,7200166438,true,17080,0.0070365323,7195001743,true,21069
22,172397,27426346,5260176,37.6586341858,4.9417862892,37.6586341858,0.0059121606,7215418000,true,1253,-0.0051577241,7189085000,true,1870
23,1194934,28729609,65577159,24.9399852753,4.0173544884,24.9399852753,0.0025040302,7200882000,true,3682,-0.0021941543,7197016000,true,3816
25,1065777,28600420,46295329,186.8225708008,11.7311439514,186.8225708008,-0.0039088142,7216079000,true,4288,0.0040870583,7193786000,true,3990
26,299518,27553921,10818497,87.3201446533,9.3215122223,87.3201446533,-0.0008590750,7206100000,true,1547,0.0008865003,7196863000,true,1789
27,35483,27288930,1475671,439.6243896484,20.6586666107,439.6243896484,-0.0036900063,7198435000,true,1433,0.0040606324,7202663000,true,1219
28,901852,28436353,36047244,149.3235778809,9.8197822571,149.3235778809,-0.0064474587,7193650000,true,1971,0.0063453977,7202142000,true,1734
30,1469055,29003736,105908115,186.1999359131,11.3553037643,186.1999359131,-0.0000621054,7199432542,true,4951,0.0000621054,7202702054,true,5474
31,1577831,29112512,135377935,11.4795646667,3.3792028427,11.4795646667,0.0040660584,7199276608,true,40652,-0.0040660588,7200958506,true,50915
32,1039344,28573979,44524215,12.4839229584,3.3516693115,12.4839229584,-0.0014485199,7183457000,true,1392,0.0016352905,7233476000,true,1250
33,178129,27432099,5453189,6.9121131897,2.6053972244,6.9121131897,0.0039077888,7203616000,true,458,-0.0036081565,7093909000,true,858
36,294856,27549251,10571229,105.0749664307,10.1805267334,105.0749664307,0.0200070892,4786545000,false,4268,-0.0184147481,4781597000,false,3256
37,1214550,28749227,68522807,126.0869750977,9.1794691086,126.0869750977,-0.0100110861,7193961000,false,7548,0.0042762126,7202173000,true,8146
38,1754403,29289084,199348327,425.7103576660,20.4735088348,425.7103576660,-0.0039458909,7200287118,true,10156,0.0039458913,7199109234,true,11549
39,407042,27661518,20407593,93.7902755737,9.4154682159,93.7902755737,0.0094968950,7193181000,true,9205,-0.0087803780,7200575000,true,8099
40,1229478,28764157,70627569,4.7082719803,2.1653070450,4.7082719803,0.0063612472,7198599000,true,8789,-0.0055377864,7200738000,true,9702
43,1165499,28700173,59886159,79.7888412476,8.9312286377,79.7888412476,0.0030137305,7196423000,true,8941,-0.0024740101,7203500000,true,12648
44,1425823,28960504,99554866,49.9928817749,6.7128195763,49.9928817749,-0.0102199785,1441087463,false,17076,-0.0100102137,1441041078,false,18917
46,939389,28473953,37677386,362.5267944336,17.2769794464,362.5267944336,0.0134895793,7193542000,true,4464,-0.0129909480,7200232000,true,3570
47,322840,27577291,12144988,1.5774164200,1.1293476820,1.5774164200,-0.0014191167,7198174000,true,2854,0.0017551271,7200016000,true,3480
48,1300437,28835117,79316356,71.7284164429,7.2339448929,71.7284164429,-0.0006251168,7196929000,true,15785,0.0006381590,7200785000,true,13043
49,1246514,28781193,73601990,1.8305764198,1.1959886551,1.8305764198,-0.0003030211,7181384000,true,908,0.0002450453,7208042000,true,883
50,1027657,28562281,44037197,1.4054553509,1.1500850916,1.4054553509,0.0109498766,7199996000,true,2475,-0.0107322844,7200122000,true,1812
51,1090073,28624738,47893584,97.6309814453,7.3567857742,97.6309814453,0.0012071490,7194899000,true,1363,-0.0012043365,7200451000,true,1926
52,1677372,29212053,181517317,100.5974273682,9.9697542191,100.5974273682,0.0041745507,7199886155,true,22145,-0.0041745511,7200038072,true,12265
53,1654025,29188706,174517662,1.0489341021,0.9886514544,1.0489341021,-0.0007540425,7200110663,true,8716,0.0007540425,7192809361,true,8544
54,906037,28440547,36233548,128.0249023438,11.0398206711,128.0249023438,0.0033037834,7200623000,true,1881,-0.0033014904,7186200000,true,1587
56,1107080,28641749,49365776,11.8420267105,2.4513888359,11.8420267105,0.0008479390,7181039000,true,2647,-0.0008479391,7202680000,true,966
57,1269028,28803708,76365092,659.1343994141,25.1390686035,659.1343994141,0.0028543612,7203574000,true,2333,-0.0027932841,7198406000,true,2808
59,770499,28302198,33033267,266.1475219727,16.3139667511,266.1475219727,0.0041309288,7212922000,true,1930,-0.0101044554,7196902000,false,1817
62,1737098,29271779,194717988,542.9132690430,22.3126106262,542.9132690430,-0.0100037511,7197378794,false,27162,0.0016592681,7200115664,true,33577
65,1139362,28674035,53191250,224.1477966309,14.4816818237,224.1477966309,0.0047869508,7205584000,true,8106,-0.0047570085,7183739000,true,7939
67,1005314,28539920,42601828,563.5247192383,23.7349224091,563.5247192383,0.0036358538,7205212000,true,1386,-0.0036358544,7188406000,true,1294
70,1774436,29309117,204928432,22.0686225891,4.6744856834,22.0686225891,-0.0014031170,7199269177,true,17656,0.0014387382,7200283658,true,14459
71,1669688,29204369,179588301,35.5076751709,4.9046049118,35.5076751709,0.0002378120,7192771653,true,7598,-0.0000508930,7200819421,true,8270
