
> fancy-strategy@1.0.0 ai:train
> UV_THREADPOOL_SIZE=16 node src/ai/train.js binance_ethusdc

Reading 10281524040 bytes into memory...
Read progress: 524288000/10281524040 (5.1%)
Read progress: 1048576000/10281524040 (10.2%)
Read progress: 1572864000/10281524040 (15.3%)
Read progress: 2097152000/10281524040 (20.4%)
Read progress: 2621440000/10281524040 (25.5%)
Read progress: 3145728000/10281524040 (30.6%)
Read progress: 3670016000/10281524040 (35.7%)
Read progress: 4194304000/10281524040 (40.8%)
Read progress: 4718592000/10281524040 (45.9%)
Read progress: 5242880000/10281524040 (51.0%)
Read progress: 5767168000/10281524040 (56.1%)
Read progress: 6291456000/10281524040 (61.2%)
Read progress: 6815744000/10281524040 (66.3%)
Read progress: 7340032000/10281524040 (71.4%)
Read progress: 7864320000/10281524040 (76.5%)
Read progress: 8388608000/10281524040 (81.6%)
Read progress: 8912896000/10281524040 (86.7%)
Read progress: 9437184000/10281524040 (91.8%)
Read progress: 9961472000/10281524040 (96.9%)
Read progress: 10281524040/10281524040 (100.0%)
Successfully read all 10281524040 bytes
First 16 bytes: c770c000000000c048859a645ecf0500
Middle 16 bytes: 0acf98405eba490c022bef3f8e1ebfb7
Failed to load model from /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000002 | idx  954808 | Trade 023365577 | Candle 028538343 | Loss 357.630341 | MAE 18.691944 | MSE 357.630341 | Buy -0.0187/81 | Sell 0.0201/81 | TradesCount 3896
Sample 000003 | idx 1403075 | Trade 066027953 | Candle 028988534 | Loss 7.184112 | MAE 2.206957 | MSE 7.184112 | Buy -0.0119/119 | Sell 0.0116/120 | TradesCount 21734
Sample 000005 | idx 1646413 | Trade 195193948 | Candle 029231875 | Loss 2.009070 | MAE 1.409438 | MSE 2.009070 | Buy 0.0062/120 | Sell -0.0060/119 | TradesCount 80278
Sample 000006 | idx 1372332 | Trade 061249221 | Candle 028957790 | Loss 2681.181885 | MAE 51.725105 | MSE 2681.181885 | Buy 0.0027/120 | Sell -0.0101/119 | TradesCount 42977
Sample 000007 | idx 1534698 | Trade 154189286 | Candle 029120160 | Loss 487.893829 | MAE 21.375483 | MSE 487.893829 | Buy -0.0088/120 | Sell 0.0087/119 | TradesCount 93212
Sample 000008 | idx 1729677 | Trade 233949089 | Candle 029315139 | Loss 2082.009277 | MAE 40.813972 | MSE 2082.009277 | Buy 0.0015/119 | Sell -0.0013/120 | TradesCount 146967
Sample 000009 | idx 1240352 | Trade 043037858 | Candle 028825783 | Loss 3.351184 | MAE 1.490594 | MSE 3.351184 | Buy -0.0003/120 | Sell 0.0002/119 | TradesCount 22280
Sample 000014 | idx  210451 | Trade 003602545 | Candle 027484608 | Loss 58.315865 | MAE 6.807914 | MSE 58.315865 | Buy -0.0104/119 | Sell 0.0029/120 | TradesCount 8748
Sample 000015 | idx 1669648 | Trade 208506277 | Candle 029255110 | Loss 23.003504 | MAE 4.461537 | MSE 23.003504 | Buy -0.0100/119 | Sell 0.0067/120 | TradesCount 105899
Sample 000016 | idx  371959 | Trade 012097438 | Candle 027646818 | Loss 0.652028 | MAE 0.792593 | MSE 0.652028 | Buy 0.0065/119 | Sell -0.0067/120 | TradesCount 10305
Sample 000017 | idx 1463884 | Trade 095153679 | Candle 029049346 | Loss 0.961053 | MAE 0.727006 | MSE 0.961053 | Buy -0.0028/119 | Sell 0.0028/120 | TradesCount 75891
Sample 000020 | idx 1540151 | Trade 155713585 | Candle 029125613 | Loss 86.530556 | MAE 7.881312 | MSE 86.530556 | Buy 0.0092/120 | Sell -0.0100/119 | TradesCount 39792
Sample 000022 | idx  242646 | Trade 004490795 | Candle 027517271 | Loss 512.706970 | MAE 22.586941 | MSE 512.706970 | Buy 0.0101/119 | Sell -0.0097/120 | TradesCount 7218
Sample 000023 | idx  973667 | Trade 023973401 | Candle 028557369 | Loss 289.587067 | MAE 16.526064 | MSE 289.587067 | Buy -0.0033/119 | Sell 0.0037/120 | TradesCount 9558
Sample 000024 | idx  323752 | Trade 009180275 | Candle 027598579 | Loss 15.168861 | MAE 3.489345 | MSE 15.168861 | Buy -0.0173/37 | Sell 0.0200/37 | TradesCount 15724
Sample 000026 | idx 1525897 | Trade 147343494 | Candle 029111359 | Loss 343.408478 | MAE 18.226292 | MSE 343.408478 | Buy 0.0143/120 | Sell -0.0142/119 | TradesCount 186281
Sample 000029 | idx 1367720 | Trade 059928871 | Candle 028953178 | Loss 852.168396 | MAE 26.353371 | MSE 852.168396 | Buy 0.0050/120 | Sell -0.0101/119 | TradesCount 49520
Sample 000036 | idx 1404649 | Trade 066236158 | Candle 028990108 | Loss 15.841536 | MAE 3.643341 | MSE 15.841536 | Buy -0.0090/120 | Sell 0.0089/119 | TradesCount 13423
Sample 000037 | idx 1112519 | Trade 032610183 | Candle 028697751 | Loss 37.338715 | MAE 6.076935 | MSE 37.338715 | Buy 0.0017/120 | Sell -0.0010/119 | TradesCount 60794
Sample 000038 | idx  303347 | Trade 007362965 | Candle 027578162 | Loss 82.607033 | MAE 7.656602 | MSE 82.607033 | Buy -0.0110/119 | Sell 0.0115/120 | TradesCount 14926
Sample 000039 | idx 1576767 | Trade 167240197 | Candle 029162229 | Loss 13.828809 | MAE 3.455258 | MSE 13.828809 | Buy -0.0053/119 | Sell 0.0054/120 | TradesCount 110389
Sample 000041 | idx  322806 | Trade 009107918 | Candle 027597633 | Loss 2.566051 | MAE 1.248952 | MSE 2.566051 | Buy 0.0027/119 | Sell -0.0019/120 | TradesCount 11157
Sample 000044 | idx  951074 | Trade 023276594 | Candle 028534587 | Loss 153.444839 | MAE 12.058111 | MSE 153.444839 | Buy -0.0017/120 | Sell 0.0016/119 | TradesCount 5715
Sample 000045 | idx  325426 | Trade 009291901 | Candle 027600253 | Loss 1888.518921 | MAE 40.815559 | MSE 1888.518921 | Buy 0.0200/92 | Sell -0.0141/92 | TradesCount 17540
Sample 000047 | idx 1561844 | Trade 162452359 | Candle 029147306 | Loss 173.309357 | MAE 12.445480 | MSE 173.309357 | Buy -0.0121/120 | Sell 0.0122/119 | TradesCount 45260
Sample 000048 | idx 1311668 | Trade 053306072 | Candle 028897122 | Loss 355.123688 | MAE 18.051199 | MSE 355.123688 | Buy -0.0198/59 | Sell 0.0200/59 | TradesCount 34682
Sample 000049 | idx 1501380 | Trade 129001690 | Candle 029086842 | Loss 25.690201 | MAE 4.444523 | MSE 25.690201 | Buy -0.0048/120 | Sell 0.0048/119 | TradesCount 114361
Sample 000050 | idx 1586245 | Trade 170646269 | Candle 029171707 | Loss 44.800613 | MAE 6.459856 | MSE 44.800613 | Buy 0.0037/120 | Sell -0.0037/119 | TradesCount 26208
Sample 000051 | idx  242297 | Trade 004481336 | Candle 027516920 | Loss 4.903845 | MAE 1.576131 | MSE 4.903845 | Buy 0.0022/120 | Sell -0.0018/119 | TradesCount 5109
Sample 000053 | idx  410171 | Trade 014312457 | Candle 027685047 | Loss 2615.611328 | MAE 46.096985 | MSE 2615.611328 | Buy -0.0103/58 | Sell -0.0100/58 | TradesCount 9152
Sample 000054 | idx 1029238 | Trade 025935223 | Candle 028613453 | Loss 156.679138 | MAE 12.517118 | MSE 156.679138 | Buy 0.0059/119 | Sell -0.0056/120 | TradesCount 8622
Sample 000057 | idx  187202 | Trade 003115950 | Candle 027460639 | Loss 1.146893 | MAE 0.978615 | MSE 1.146893 | Buy -0.0045/119 | Sell 0.0047/120 | TradesCount 4832
Sample 000059 | idx  899628 | Trade 021840330 | Candle 028482633 | Loss 595.526917 | MAE 22.970825 | MSE 595.526917 | Buy 0.0123/119 | Sell -0.0112/120 | TradesCount 8823
Sample 000060 | idx 1149454 | Trade 036339906 | Candle 028734734 | Loss 161.543716 | MAE 11.282830 | MSE 161.543716 | Buy 0.0070/119 | Sell -0.0073/120 | TradesCount 8655
