SampleIndex,StartCandleIndex,StartCandleId,TradeIndex,Loss,MAE,MSE,BuyProfitPercent,BuyOrderDuration,BuyOrderForcedClose,BuyOrderTradesCount,SellProfitPercent,SellOrderDuration,SellOrderForcedClose,SellOrderTradesCount
3,1260697,28846151,44742269,0.0009725715,0.0281380787,0.0009725715,0.0001029595,7156263000,true,2235,-0.0000082359,7203071000,true,2492
4,1250114,28835554,43751839,0.0004581753,0.0188377462,0.0004581753,0.0200033478,6633152000,false,4397,-0.0189607833,6632706000,false,3938
5,1392779,28978238,64781771,0.0013003224,0.0316582061,0.0013003224,0.0200925388,3198612909,false,6141,-0.0177536517,3197035396,false,5340
6,1512187,29097649,138350936,0.0003868791,0.0176230054,0.0003868791,0.0035627793,7200117995,true,24907,-0.0100295348,7199998493,false,30053
7,1572340,29157802,165201723,0.0005544275,0.0235383529,0.0005544275,0.0108126893,7202382571,true,21665,-0.0107167678,7199499041,false,21616
8,358747,27633604,11145248,0.0005613633,0.0200884435,0.0005613633,-0.0012549182,7202571000,true,2248,0.0019767365,7168413000,true,2406
11,899791,28482796,21845103,0.0006303499,0.0249628685,0.0006303499,-0.0006462096,7243700000,true,991,0.0007525186,7198903000,true,799
13,1591224,29176686,171964266,0.0000045219,0.0020597875,0.0000045219,-0.0088234759,7202656142,true,11848,0.0090275693,7199580464,true,10854
14,249887,27524549,4687905,0.0000687860,0.0081253685,0.0000687860,-0.0065795557,7204551000,true,1530,0.0065228602,7196754000,true,1857
15,424569,27699463,15040448,0.0002999027,0.0171056353,0.0002999027,-0.0171071223,7200543000,true,1592,0.0166754343,7191004000,true,1927
17,1360283,28945741,58848488,0.0000052859,0.0020615654,0.0000052859,-0.0183802792,6812835928,false,10642,0.0200076250,6814556214,false,13613
18,1221748,28807144,41942087,0.0008041702,0.0227784254,0.0008041702,-0.0028524442,7208001000,true,1876,0.0029985436,7180214000,true,2170
21,1642790,29228252,193045259,0.0000099686,0.0031568278,0.0000099686,-0.0194668977,4401957013,false,39018,0.0200055858,4401994298,false,53373
22,1715767,29301229,227554680,0.0012714844,0.0354252979,0.0012714844,0.0134779845,7203618950,true,28503,-0.0133559872,7199862305,false,24398
27,1484031,29069493,113007785,0.0005333679,0.0230853856,0.0005333679,0.0075388147,7199774539,true,73794,-0.0075936642,7200233362,true,67021
28,686653,28254662,18739633,0.0000049485,0.0020174463,0.0000049485,-0.0084548287,7201903000,true,942,0.0089002659,7199575000,true,2316
29,342336,27617189,10145919,0.0007231300,0.0268850550,0.0007231300,0.0200355013,2267269000,false,1327,-0.0190709403,2262329000,false,1290
30,1703593,29289055,223805701,0.0008724077,0.0295118354,0.0008724077,-0.0071030731,7200257479,true,14777,0.0071030895,7199982970,true,18729
